;descriptions;titles;wages;locations;employment_types;job_times;offer_urls
0;"Uniwork Sp. z o.o. - Agencja Pośrednictwa PracyPoszukujemy osoby na stanowisko Konsultant ds Zatrudnienia w dynamicznie rozwijającej się firmie, zajmującej się pozyskiwaniem pracowników do pracy na terenie Niemiec, Austrii, Szwajcarii, Holandii i Belgii.Konsultant ds ZatrudnieniaMiejsce pracy: OpoleWymagania:samodzielność, odpowiedzialność w dążeniu do realizacji założonych celów;wysoko rozwinięte zdolności interpersonalne;komunikatywność;zaangażowanie;wysoka motywacja do pracy;umiejętność pracy w zespole;znajomość pakietu Microsoft Office bardzo dobra organizacja pracy własnej;znajomość języka niemieckiego na poziomie minimum B1Zadania:rekrutacja pracowników;poszukiwanie, oraz pozyskiwanie pracowników na stanowiska pracy w Niemczech, Austrii, Szwajcarii, Holandii i Belgii;selekcja aplikacji;przeprowadzanie rekrutacji telefonicznej;dążenie do wyznaczonych celów;raportowanie;Oferujemy:stabilne zatrudnienie;pracę w pełnym wymiarze godzin;praca w biurze w OpoluZgłoszenia prosimy wysyłać przez arkusz aplikacyjny wraz z załączonym CV.Zaznaczamy, że skontaktujemy się z wybranymi osobami.Prosimy o załączenie klauzuli:Wyrażam zgodę na przetwarzanie moich danych osobowych zawartych w mojej ofercie pracy dla potrzeb niezbędnych do realizacji procesu rekrutacji (zgodnie z Ustawą z dnia 29.08.1997 roku o Ochronie Danych Osobowych; tekst jednolity: Dz. U. z 2002r. Nr 101, poz. 926 ze zm.)";['Konsultant ds Zatrudnienia z j. niemieckim - praca Opole'];['4 200 zł - 5 400 zł zł / mies. brutto'];['Opole'];['Umowa zlecenie'];['Pełny etat'];http://www.olx.pl/oferta/praca/konsultant-ds-zatrudnienia-z-j-niemieckim-praca-opole-CID4-IDJe6Ux.html
1;Potrzebna Pani do sprzątania SALONU FRYZJERSKIEGOPraca 6 dni w tygodniuod poniedziałku do piątku po godzinie 21 ,w sobotę po godzinie 18czas pracy 2,5-3 godzinymiejsce pracy Śródmieściewięcej informacji pod numerem telefonu 69*****34;['Sprzątanie Salonu Fryzjerskiego'];['Warszawa, Śródmieście'];['Dodatkowa / sezonowa'];[];['Inny'];http://www.olx.pl/oferta/praca/sprzatanie-salonu-fryzjerskiego-CID4-IDTz287.html
2;"OPISJesteśmy jednym z największych dystrybutorów w branży FMCG w kraju, działającym na rynku od ponad 30 lat. Posiadamy 11 centrów logistycznych z własną flotą. Stawiamy na rozwój tworząc wyższy poziom dystrybucji.Jeśli jesteś osobą odpowiedzialną, chętną do pracy i posiadasz prawo jazdy kat. C, ta oferta jest dla Ciebie.NAZWA STANOWISKA:Kierowca - dostawcaMIEJSCE PRACY:Nowe PiekutyOPIS STANOWISKA:dystrybucja towarów,terminowa realizacja dostaw,załadunek i wyładowywanie towaru,WYMAGANIA:prawo jazdy kat. C,doświadczenie w prowadzeniu samochodów dostawczych,dobra organizacja czasu pracy,dokładność, sumienność i odpowiedzialność,wysoka kultura osobista,zaangażowanie i chęć do pracy, OFERUJEMY:ciekawą pracę w dynamicznie rozwijającej się firmie,stabilne warunki zatrudnienia w oparciu o umowę o pracę,system motywacyjny i premiowy,Informacje o przetwarzaniu danych osobowych na potrzeby rekrutacji Na potrzeby procesu rekrutacji przetwarzać będziemy następujące dane osobowe: imię i nazwisko, data urodzenia, dane kontaktowe (adres, e-mail, telefon), wykształcenie, kwalifikacje zawodowe, przebieg dotychczasowego zatrudnienia. Dane osobowe przetwarzane są na podstawie art. 221 § 1 Kodeksu pracy w związku z czym nie jest wymagane wyrażenie zgody na ich przetwarzanie.Bez tych danych nie jest możliwe przeprowadzenie procesu rekrutacyjnego, a w konsekwencji nawiązanie stosunku pracy. Dane osobowe, służyć mają wyłącznie prowadzonej rekrutacji. Dane osobowe będą zbierane i przetwarzane przez Kompanię Dystrybucyjną TEDI sp. z o.o. S.K.A. z siedzibą w Nowych Piekutach, adres: ul. Główna 23, 18-212 Nowe Piekuty. Dane nie będą przekazywane podmiotom trzecim. Dane będą przechowywane do czasu zakończenia procesu rekrutacji. W związku z przetwarzaniem danych osobowych przysługuje Panu/Pani prawo do: a) uzyskania potwierdzenia, czy dane osobowe są nadal przetwarzane przez; b) dostępu do tych danych; c) informacji o celach przetwarzania, odbiorcach, którym dane zostaną ujawnione, okresie przechowywania danych, d) sprostowania danych; e) żądanie usunięcia danych po zrealizowaniu celu, dla którego były przetwarzanie; f) żądania ograniczenia przetwarzania danych; g) wniesienia sprzeciwu wobec przetwarzania danych; h) żądania przesłania danych innemu administratorowi; i) wniesienia skargi do Prezesa UODO";['Kierowca kat. C Kompania Dystrybucyjna TEDI'];['4 500 zł - 5 500 zł zł / mies. brutto'];['Łapy'];['Umowa o pracę'];['Pełny etat'];http://www.olx.pl/oferta/praca/kierowca-kat-c-kompania-dystrybucyjna-tedi-CID4-IDUBXSv.html
3;Poszukuję kierowcy C+E na krajówkę. Praca od poniedziałku do piątku, naczepa firanka. Dniówka 400zł na rękę. Zainteresowanych proszę o kontakt. Województwo małopolskie Chrzanów;['Kierowca C+E transport krajowy'];['7 000 zł - 8 000 zł zł / mies. brutto'];['Zagórze'];['Umowa o pracę'];['Pełny etat'];http://www.olx.pl/oferta/praca/kierowca-c-e-transport-krajowy-CID4-IDUDBkK.html
4;Poszukujemy osobę do sprzątania biura (120mkw).Biuro mieści się w Tychach przy ul. Piłsudskiego 65Praca odbywałaby się od poniedziałku do piątku w godzinach, kiedy biuro nie pracuje, czyli albo między 6:00-7:00 rano albo w godzinach popołudniowych między 18:00-19:00 Łączna ilość godzin w miesiącu - 30.Oczekujemy doświadczenia w sprzątaniu pomieszczeń biurowych lub podobnych.Wynagrodzenie brutto od 24-26zł/h;['Sprzątanie małego biura'];['24 zł - 26 zł zł / godz. brutto'];['Tychy'];['Umowa zlecenie'];['Dodatkowa / sezonowa'];http://www.olx.pl/oferta/praca/sprzatanie-malego-biura-CID4-IDUDBjK.html
5;Firma odzieżowa Diamonds Clothes działająca w segmencie e-commerce w związku z dynamicznym rozwojem poszukuje kandydatów na stanowisko: Specjalista ds. obsługi klienta - e-commerceMiejsce pracy: Lublin ul. Do Dysa 5, praca stacjonarna (Czechów Górny)Praca od 7.00 do 15.00, od pon. do pt.Forma zatrudnienia:Pierwsze dwa miesiące okres próbny - umowa zleceniePo okresie próbnym - umowa o pracę Do zadań osoby zatrudnionej na tym stanowisku należeć będzie:Mailowa obsługa klienta w oparciu o standardy firmyNadzorowanie oraz finalizacja dokonywanych zamówień.Dbanie o dobry wizerunek firmy.Współpraca z firmami kurierskimi oraz reklamacje niezrealizowanych usług.Współpraca z pozostałymi działami firmy.Wymagania:Samodzielność oraz zdolność podejmowania decyzjiPunktualność i dyspozycyjnośćZaangażowanie w wykonywaną pracęRzetelności przy wykonywaniu zadańWykształcenie min. średnieDoświadczenie na podobnym stanowiskuOferujemy:- praca na pełny etat, pełny pakiet szkoleń przed podjęciem pracy- miłą i przyjemną pracę w młodym zespole- rabat pracowniczy na produkty- raz w tygodniu dostawa świeżych owocówProsimy o CV wraz ze zdjęciem oraz klauzulą o przetwarzaniu danych osobowych. Zastrzegamy sobie prawo do skontaktowania się tylko z wybranymi kandydatami.;['Specjalista ds. obsługi klienta - e-commerce'];['Lublin'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/specjalista-ds-obslugi-klienta-e-commerce-CID4-IDP7vJ1.html
6;"Restauracja 3kolory Malta zatrudni  na stanowisko: Pomoc kuchenna/ zmywak 

Wymagania:

Aktualne badania sanepid

doświadczenie na podobnym stanowisku ( WARUNEK KONIECZNY)

dyspozycyjność min 5 dni w tygodniu 

uczciwość i zaangażowanie 

Oferujemy:

umowę zlecenie 

2 posiłki posiłki pracownicze 

Umowę o pracę po okresie próbnym

CV wraz ze zdjęciem proszę przesłać za pośrednictwem OLX lub kontakt telefoniczny: 69*****51";['Pomoc kuchenna/ zmywak - restauracja 3kolory Malta'];['23 zł - 24 zł zł / godz. brutto'];['Poznań, Stare Miasto'];['Umowa zlecenie'];['Pełny etat'];http://www.olx.pl/oferta/praca/pomoc-kuchenna-zmywak-restauracja-3kolory-malta-CID4-IDUxAWW.html
7;CO NAS WYRÓŻNIABudujemy i podtrzymujemy relacje z Klientami.Działamy zespołowo i dbamy o dobrą atmosferę w pracy.Jesteśmy dużą instytucją finansową, ale nie nazywamy siebie korporacją. Jesteśmy społecznością. Stefczyk Finanse w ramach swojej działalności współpracuje z firmą Saltus. Dzięki temu Nasi Pracownicy mogą otrzymywać dodatkowe, atrakcyjne gratyfikacje finansowe i rzeczowe oraz biorą udział w licznych konkursach z obszaru sprzedaży ubezpieczeń. Twój Zakres Obowiązków:aktywna sprzedaż produktów finansowych oraz ubezpieczeń,realizowanie indywidualnych oraz zespołowych celów sprzedażowych,budowanie relacji z obecnymi i nowymi Klientami,dbanie o wysoką jakość obsługi Klienta – również telefonicznie,kształtowanie pozytywnego wizerunku firmy.     Nasze Wymagania:doświadczenie w sprzedaży produktów finansowych lub ubezpieczeniowych,sukcesy w osiąganiu wyznaczonych celów sprzedażowych,                                            znajomość produktów bankowości detalicznej,                            doświadczenie w budowaniu relacji z Klientami,nastawienie na współpracę i dobrą atmosferę w zespole,wykształcenie minimum średnie.Co Oferujemy:stabilne zatrudnienie na umowę o pracę,nielimitowany system premiowy uzależniony od wyników,wsparcie Opiekuna Adaptacyjnego i Trenera Wdrożeniowego w trakcie wdrożenia,gwarantowaną premię na start w okresie pierwszych 3 m-cy zatrudnienia,udział w konkursach sprzedażowych,system szkoleń i programów rozwojowych,prywatną opiekę medyczną dla Pracowników i ich rodzin,kafeteryjną platformę benefitów,;['Specjalista ds. Finansowych Stefczyk Finanse, Poznań Pl. Wielkopolski'];['Poznań, Stare Miasto'];['Pełny etat'];[];['Umowa o pracę'];http://www.olx.pl/oferta/praca/specjalista-ds-finansowych-stefczyk-finanse-poznan-pl-wielkopolski-CID4-IDPvRTf.html
8;Poszukujemy Nauczyciela Wychowania Przedszkolnego z językiem angielskimOferujemy atrakcyjne wynagrodzenie (od 5300,00 zł brutto do 5700,00 zł brutto), możliwość rozwoju zawodowego, wsparcie ekspertów na każdym etapie pracy w naszej placówce, fantastyczną wspierającą atmosferę, możliwość poznania oraz stosowania najnowszych metod pracy z dziećmi w wieku przedszkolnym, możliwość stosowania bezpiecznych rozwiązań multimedialnych w pracy z kilkulatkami. Oczekiwania: odpowiednie kwalifikacje (ukończone studia o specjalizacji: wychowanie przedszkolne lub/i wczesnoszkolne, filologia języka angielskiego o specjalizacji nauczycielskiej), przygotowanie do pracy z dziećmi, doświadczenie w pracy w przedszkolu, umiejętność współpracy w zespole i z rodzicami, empatia, otwartość na samodoskonalenie i innowacyjne metody pracy. Nauczyciel przechodzi z grupą cały etap edukacji przedszkolnej (od grupy najmłodszej do 6-latków). Termin rozpoczęcia pracy: od lipca 2023 r.;['Nauczyciel Wychowania Przedszkolnego - z językiem angielskim'];['5 300 zł - 5 700 zł zł / mies. brutto'];['Warszawa, Wesoła'];['Umowa o pracę'];['Pełny etat'];http://www.olx.pl/oferta/praca/nauczyciel-wychowania-przedszkolnego-z-jezykiem-angielskim-CID4-IDMryvz.html
9;"Witam,szukam Sushi Mastera z doświadczeniem.
Przeszkolenie z podstawowej wiedzy o sushi,co gdzie kupić itd.
Stawka to 100zł/h
Więcej informacji udzielę telefonicznie.";['Nauka robienia sushi.Sushi Master'];['100 zł - 101 zł zł / godz. brutto'];['Bydgoszcz'];['Inny'];['Dodatkowa / sezonowa'];http://www.olx.pl/oferta/praca/nauka-robienia-sushi-sushi-master-CID4-IDUDz4g.html
